feature,mean_importance
District,-1.1102230246251566e-17
Property Type_T,-1.1102230246251566e-17
Month,0.0
Year,0.0
Old/New_N,9.976257753208096e-06
Old/New_Y,2.103059619193992e-05
County,0.00012701576051415975
Duration_L,0.00013075772630772865
Duration_F,0.00013754193724455633
Property Type_F,0.00017226841362346645
Property Type_S,0.00018007631494963982
PPDCategory Type_B,0.002536803383177155
Postcode,0.005895518917205578
PPDCategory Type_A,0.012363080745623135
Add3,0.030805239985344447
Property Type_O,0.04341982444862461
Property Type_D,0.12099892455981683
Add2,0.7030220991685967
