feature,shap_importance
Add2,0.4475784166877743
Property Type_D,0.19462782566137043
Add3,0.04361489812453291
Property Type_O,0.02540699913850147
PPDCategory Type_A,0.021618037142391838
Postcode,0.015146911413705581
PPDCategory Type_B,0.006174575224538809
Property Type_S,0.0013110337312309344
Duration_F,0.0007594524539960773
Duration_L,0.0007223282998653615
Property Type_F,0.0007213624520810775
County,0.00026949128086128465
Old/New_Y,0.00020381105319097471
District,0.00018245522242777044
Old/New_N,0.00011887967762777588
Year,0.0
Month,0.0
Property Type_T,0.0
