feature,mean_importance
PPDCategory Type_B,0.0
Duration_L,0.0
Old/New_Y,0.0
District,0.004161900803844582
Property Type_S,0.007901045986933614
County,0.009778898987640589
Property Type_T,0.01214800671552017
Year,0.01815747027697238
Month,0.02245529858175172
Old/New_N,0.02488461479372451
Property Type_F,0.025556326969781967
Postcode,0.051307740743940844
PPDCategory Type_A,0.05530243173317717
Duration_F,0.07437123778414947
Property Type_O,0.13041978949955943
Add3,0.14855868679809808
Property Type_D,0.1642221238438469
Add2,0.5922209348938066
