feature,mean_importance
PPDCategory Type_B,0.0012481694313003834
Duration_L,0.0027197669395720215
Month,0.003763128123411119
Old/New_Y,0.004487278538404416
County,0.007726678677167198
District,0.008117341215998119
Year,0.009807697382114044
Property Type_O,0.012940497902526549
Postcode,0.014041199024243601
Property Type_F,0.018900273093545472
Property Type_S,0.02021636109790037
Property Type_T,0.025748204549633003
Duration_F,0.026492877592349917
Old/New_N,0.029645634359360018
PPDCategory Type_A,0.039330078560209716
Property Type_D,0.07532197166156163
Add3,0.08503346934743947
Add2,0.3532440197233645
